,title,country,region,rank_display,score,url,faculty_tot,faculty_int,student_tot,student_int
59,Monash University,Australia,Oceania,60.0,73.1,https://www.topuniversities.com/universities/monash-university#wurs,3204.0,1679.0,57433.0,20578.0
60,University of Washington,United States,North America,61.0,72.9,https://www.topuniversities.com/universities/university-washington#wurs,2484.0,550.0,56973.0,8373.0
61,Shanghai Jiao Tong University,China,Asia,62.0,72.5,https://www.topuniversities.com/universities/shanghai-jiao-tong-university#wurs,3544.0,887.0,38931.0,2858.0
62,Osaka University,Japan,Asia,63.0,72.1,https://www.topuniversities.com/universities/osaka-university#wurs,2814.0,296.0,22760.0,2106.0
63,Technical University of Munich,Germany,Europe,64.0,72.0,https://www.topuniversities.com/universities/technical-university-munich#wurs,5850.0,1174.0,38726.0,6181.0
64,University of Glasgow,United Kingdom,Europe,65.0,71.6,https://www.topuniversities.com/universities/university-glasgow#wurs,2775.0,956.0,23815.0,8149.0
65,Ludwig-Maximilians-Universität München,Germany,Europe,66.0,70.8,https://www.topuniversities.com/universities/ludwig-maximilians-universit%C3%A4t-m%C3%BCnchen#wurs,3274.0,674.0,35055.0,5084.0
66,University of Texas at Austin,United States,North America,67.0,70.6,https://www.topuniversities.com/universities/university-texas-austin#wurs,2833.0,108.0,47995.0,4744.0
67,Ruprecht-Karls-Universität Heidelberg,Germany,Europe,68.0,70.4,https://www.topuniversities.com/universities/ruprecht-karls-universit%C3%A4t-heidelberg#wurs,3908.0,756.0,28852.0,5298.0
68,University of Illinois at Urbana-Champaign,United States,North America,69.0,70.3,https://www.topuniversities.com/universities/university-illinois-urbana-champaign#wurs,2554.0,259.0,42427.0,9483.0
